"id","user_id","time","duration","X","Y","key","tagName","tagId"
358,19,1677166746685,105,894,118,0,NULL,NULL
359,19,1677166748605,103,1074,135,0,NULL,NULL
360,19,1677166752341,120,552,148,0,NULL,NULL
361,19,1677166759970,112,539,140,0,NULL,NULL
362,19,1677166761525,112,391,138,0,NULL,NULL
363,6,1677166857916,85,1175,145,0,NULL,NULL
364,6,1677166858966,80,882,143,0,NULL,NULL
365,6,1677166858620,104,947,142,0,NULL,NULL
366,6,1677166860236,96,699,150,0,NULL,NULL
367,6,1677166860996,104,540,143,0,NULL,NULL
368,6,1677166866181,120,1416,62,0,NULL,NULL
369,6,1677166869205,104,1370,150,0,NULL,NULL
370,6,1677166869972,121,1412,57,0,NULL,NULL
371,6,1677166870764,120,1376,171,0,NULL,NULL
372,6,1677166871397,104,1237,66,0,NULL,NULL
373,23,1677167574581,126,1289,139,0,NULL,NULL
374,23,1677167599989,73,817,635,0,NULL,NULL
375,23,1677167601689,92,1120,625,0,NULL,NULL
376,23,1677167602143,80,460,598,0,NULL,NULL
377,23,1677167607955,86,465,612,0,NULL,NULL
378,23,1677167608806,96,1471,617,0,NULL,NULL
379,23,1677167632477,38,1405,615,0,NULL,NULL
380,23,1677167765413,117,1457,140,0,NULL,NULL
381,27,1677168618767,95,1110,141,0,NULL,NULL
382,27,1677168621031,31,878,114,0,NULL,NULL
383,27,1677168624407,62,673,121,0,NULL,NULL
384,27,1677168631895,88,513,138,0,NULL,NULL
385,27,1677168644719,86,640,393,0,NULL,NULL
386,27,1677168646511,94,1017,387,0,NULL,NULL
387,27,1677168647247,119,1017,387,0,NULL,NULL
388,27,1677168648096,784,1017,387,0,NULL,NULL
389,27,1677168648655,70,960,272,0,NULL,NULL
390,27,1677168649031,64,960,272,0,NULL,NULL
391,27,1677168649201,48,957,272,0,NULL,NULL
392,27,1677168650807,55,868,133,0,NULL,NULL
393,26,1677168912283,144,750,354,0,NULL,NULL
394,26,1677168917960,136,737,147,0,NULL,NULL
395,29,1677169784078,95,634,156,0,NULL,NULL
396,29,1677169784422,91,644,142,0,NULL,NULL
397,29,1677169787800,75,856,132,0,NULL,NULL
398,29,1677169789038,83,962,145,0,NULL,NULL
399,29,1677169790970,108,1232,151,0,NULL,NULL
400,29,1677169794141,98,527,132,0,NULL,NULL
401,29,1677169797776,78,716,140,0,NULL,NULL
402,29,1677169804774,91,476,882,0,NULL,NULL
403,29,1677169808402,78,1441,103,0,NULL,NULL
404,29,1677169807453,81,1449,62,0,NULL,NULL
405,29,1677169809634,106,905,360,0,NULL,NULL
406,29,1677169811095,78,879,414,0,NULL,NULL
407,29,1677169812305,77,895,503,0,NULL,NULL
408,29,1677169813544,40,1161,464,0,NULL,NULL
409,29,1677169814179,81,1027,463,0,NULL,NULL
410,29,1677169818893,83,891,672,0,NULL,NULL
411,29,1677169820630,110,963,433,0,NULL,NULL
