duration,interArrivalTime,Type
98,524.0,Human
74,3329.0,Human
42,1052.0,Human
83,1645.0,Human
57,546.0,Human
48,708.0,Human
153,4469.0,Human
63,968.0,Human
60,4648.0,Human
94,2813.0,Human
149,295.0,Human
78,1734.0,Human
154,121.0,Human
194,177.0,Human
70,307.0,Human
151,983.0,Human
128,858.0,Human
62,78.0,Human
109,115.0,Human
63,47.0,Human
63,115.0,Human
78,164.0,Human
94,2284.0,Human
109,156.0,Human
77,81.0,Human
94,140.0,Human
78,202.0,Human
126,207.0,Human
95,107.0,Human
63,90.0,Human
77,371.0,Human
47,287.0,Human
78,216.0,Human
111,172.0,Human
62,181.0,Human
79,338.0,Human
47,157.0,Human
125,172.0,Human
125,185.0,Human
126,100.0,Human
110,65.0,Human
109,100.0,Human
95,108.0,Human
109,148.0,Human
110,67.0,Human
108,148.0,Human
63,142.0,Human
78,115.0,Human
94,100.0,Human
93,132.0,Human
77,83.0,Human
78,101.0,Human
77,79.0,Human
125,138.0,Human
63,79.0,Human
47,347.0,Human
94,215.0,Human
94,103.0,Human
94,93.0,Human
93,135.0,Human
109,156.0,Human
78,170.0,Human
109,148.0,Human
63,106.0,Human
61,276.0,Human
46,48.0,Human
30,277.0,Human
48,133.0,Human
62,320.0,Human
110,153.0,Human
63,60.0,Human
124,182.0,Human
109,278.0,Human
63,70.0,Human
124,205.0,Human
78,69.0,Human
109,151.0,Human
64,205.0,Human
63,114.0,Human
79,98.0,Human
155,311.0,Human
78,414.0,Human
63,102.0,Human
93,104.0,Human
124,142.0,Human
61,131.0,Human
126,290.0,Human
126,91.0,Human
93,497.0,Human
62,95.0,Human
125,152.0,Human
79,86.0,Human
125,163.0,Human
78,217.0,Human
93,153.0,Human
78,105.0,Human
141,139.0,Human
125,54.0,Human
110,119.0,Human
125,132.0,Human
78,48.0,Human
62,280.0,Human
141,455.0,Human
93,122.0,Human
77,546.0,Human
109,125.0,Human
94,76.0,Human
157,222.0,Human
109,3.0,Human
94,102.0,Human
94,125.0,Human
77,74.0,Human
109,242.0,Human
94,232.0,Human
77,80.0,Human
47,172.0,Human
94,172.0,Human
110,184.0,Human
110,148.0,Human
125,171.0,Human
94,155.0,Human
110,118.0,Human
64,92.0,Human
78,156.0,Human
79,111.0,Human
109,135.0,Human
93,193.0,Human
110,657.0,Human
94,166.0,Human
111,137.0,Human
63,76.0,Human
109,144.0,Human
62,133.0,Human
80,184.0,Human
126,185.0,Human
125,49.0,Human
78,139.0,Human
125,187.0,Human
125,137.0,Human
93,78.0,Human
63,1489.0,Human
46,132.0,Human
63,122.0,Human
93,127.0,Human
62,124.0,Human
110,338.0,Human
62,61.0,Human
110,192.0,Human
62,408.0,Human
94,127.0,Human
77,148.0,Human
110,105.0,Human
124,394.0,Human
124,200.0,Human
109,981.0,Human
78,128.0,Human
141,182.0,Human
110,92.0,Human
125,183.0,Human
77,1159.0,Human
78,105.0,Human
79,102.0,Human
95,277.0,Human
64,85.0,Human
94,126.0,Human
170,263.0,Human
124,81.0,Human
79,339.0,Human
95,172.0,Human
157,177.0,Human
139,202.0,Human
141,2669.0,Human
63,31.0,Human
48,161.0,Human
109,183.0,Human
125,111.0,Human
110,163.0,Human
110,148.0,Human
78,751.0,Human
1459,13.0,Human
113,176.0,Human
113,128.0,Human
112,197.0,Human
96,124.0,Human
127,249.0,Human
106,1183.0,Human
819,36.0,Human
132,481.0,Human
106,545.0,Human
106,1326.0,Human
1844,28.0,Human
109,137.0,Human
107,161.0,Human
86,181.0,Human
97,436.0,Human
107,275.0,Human
89,167.0,Human
89,207.0,Human
102,199.0,Human
105,126.0,Human
116,187.0,Human
123,211.0,Human
113,208.0,Human
99,169.0,Human
95,157.0,Human
59,141.0,Human
104,253.0,Human
71,202.0,Human
104,166.0,Human
121,233.0,Human
92,163.0,Human
100,244.0,Human
76,428.0,Human
115,197.0,Human
113,641.0,Human
105,194.0,Human
99,116.0,Human
100,254.0,Human
82,101.0,Human
80,157.0,Human
106,187.0,Human
98,181.0,Human
94,178.0,Human
102,197.0,Human
101,116.0,Human
103,168.0,Human
105,167.0,Human
136,255.0,Human
113,162.0,Human
97,601.0,Human
91,124.0,Human
85,137.0,Human
81,113.0,Human
82,184.0,Human
85,164.0,Human
64,378.0,Human
74,199.0,Human
83,202.0,Human
77,189.0,Human
82,141.0,Human
82,161.0,Human
91,154.0,Human
129,498.0,Human
86,208.0,Human
91,170.0,Human
111,180.0,Human
106,163.0,Human
115,186.0,Human
102,164.0,Human
49,142.0,Human
104,378.0,Human
103,146.0,Human
82,1144.0,Human
1120,75.0,Human
646,20.0,Human
204,38.0,Human
130,2393.0,Human
92,221.0,Human
108,4110.0,Human
111,197.0,Human
76,2645.0,Human
88,619.0,Human
92,462.0,Human
184,22.0,Human
33,17.0,Human
207,662.0,Human
39,23.0,Human
32,17.0,Human
123,1174.0,Human
262,3561.0,Human
168,2463.0,Human
144,1096.0,Human
184,120.0,Human
152,40.0,Human
184,704.0,Human
163,109.0,Human
141,2.0,Human
136,39.0,Human
113,281.0,Human
120,1911.0,Human
121,633.0,Human
231,22.0,Human
112,256.0,Human
89,130.0,Human
201,367.0,Human
104,56.0,Human
183,1176.0,Human
95,16.0,Human
239,536.0,Human
136,8.0,Human
205,2040.0,Human
151,8.0,Human
159,952.0,Human
168,56.0,Human
144,79.0,Human
160,289.0,Human
95,12.0,Human
120,232.0,Human
76,24.0,Human
72,112.0,Human
127,256.0,Human
161,296.0,Human
104,1943.0,Human
240,48.0,Human
128,208.0,Human
187,136.0,Human
111,649.0,Human
111,87.0,Human
151,161.0,Human
72,343.0,Human
119,713.0,Human
79,48.0,Human
137,161.0,Human
74,46.0,Human
131,256.0,Human
111,81.0,Human
97,288.0,Human
95,112.0,Human
40,176.0,Human
129,257.0,Human
89,6.0,Human
92,241.0,Human
96,207.0,Human
137,112.0,Human
201,73.0,Human
192,104.0,Human
127,63.0,Human
120,328.0,Human
151,1077.0,Human
152,1318.0,Human
130,2210.0,Human
85,660.0,Human
305,9.0,Human
85,1206.0,Human
126,255.0,Human
74,59.0,Human
109,157.0,Human
660,4758.0,Human
79,1817.0,Human
120,567.0,Human
490,18.0,Human
79,341.0,Human
70,282.0,Human
53,93.0,Human
60,189.0,Human
59,125.0,Human
376,633.0,Human
116,9.0,Human
80,219.0,Human
90,146.0,Human
75,109.0,Human
94,990.0,Human
353,13.0,Human
95,207.0,Human
95,215.0,Human
85,90.0,Human
85,570.0,Human
100,314.0,Human
100,116.0,Human
70,170.0,Human
75,155.0,Human
85,215.0,Human
111,4486.0,Human
85,115.0,Human
191,196.0,Human
134,39.0,Human
74,2856.0,Human
110,290.0,Human
91,161.0,Human
156,350.0,Human
46,49.0,Human
110,162.0,Human
65,751.0,Human
95,243.0,Human
75,109.0,Human
2886,3451.0,Human
170,2766.0,Human
100,45.0,Human
116,126.0,Human
99,59.0,Human
80,101.0,Human
85,396.0,Human
105,290.0,Human
91,150.0,Human
184,324.0,Human
164,75.0,Human
106,1214.0,Human
156,106.0,Human
125,45.0,Human
264,542.0,Human
140,13.0,Human
109,805.0,Human
100,166.0,Human
100,115.0,Human
85,110.0,Human
95,260.0,Human
74,540.0,Human
64,190.0,Human
115,265.0,Human
155,54.0,Human
110,3149.0,Human
94,208.0,Human
99,135.0,Human
125,261.0,Human
101,185.0,Human
73,256.0,Human
101,225.0,Human
85,614.0,Human
69,215.0,Human
64,2226.0,Human
60,154.0,Human
94,170.0,Human
75,1311.0,Human
54,140.0,Human
105,195.0,Human
74,219.0,Human
115,160.0,Human
104,255.0,Human
75,270.0,Human
90,290.0,Human
119,224.0,Human
100,254.0,Human
76,266.0,Human
80,231.0,Human
90,1670.0,Human
91,141.0,Human
160,514.0,Human
75,240.0,Human
80,930.0,Human
95,211.0,Human
90,273.0,Human
80,266.0,Human
105,210.0,Human
110,36.0,Human
120,85.0,Human
105,38.0,Human
75,123.0,Human
115,479.0,Human
69,170.0,Human
90,118.0,Human
81,152.0,Human
144,213.0,Human
120,40.0,Human
140,1793.0,Human
