user_id,duration,interArrivalTime,Type
6,113,348.0,Human
6,260,304.0,Human
6,149,37.0,Human
6,112,191.0,Human
6,186,270.0,Human
6,152,562.0,Human
6,149,262.0,Human
6,112,74.0,Human
6,110,171.0,Human
6,113,236.0,Human
6,113,337.0,Human
6,148,179.0,Human
6,150,157.0,Human
6,151,112.0,Human
6,223,226.0,Human
6,225,149.0,Human
6,186,37.0,Human
6,149,75.0,Human
6,75,76.0,Human
6,111,111.0,Human
6,151,199.0,Human
6,149,224.0,Human
6,300,1.0,Human
6,112,74.0,Human
6,150,240.0,Human
6,187,238.0,Human
6,188,444.0,Human
6,111,491.0,Human
6,75,225.0,Human
6,113,253.0,Human
6,112,204.0,Human
6,186,187.0,Human
6,112,36.0,Human
6,112,404.0,Human
6,151,112.0,Human
6,150,112.0,Human
6,150,112.0,Human
6,149,112.0,Human
6,149,1135.0,Human
6,226,194.0,Human
6,150,105.0,Human
6,147,275.0,Human
6,112,112.0,Human
6,149,150.0,Human
6,112,111.0,Human
6,149,213.0,Human
6,149,147.0,Human
6,111,72.0,Human
6,154,173.0,Human
6,113,74.0,Human
6,150,181.0,Human
6,112,75.0,Human
6,150,250.0,Human
6,111,111.0,Human
6,112,113.0,Human
6,187,149.0,Human
6,188,150.0,Human
6,112,74.0,Human
6,190,205.0,Human
6,113,74.0,Human
6,77,113.0,Human
6,149,111.0,Human
6,150,150.0,Human
6,147,154.0,Human
6,76,96.0,Human
6,76,111.0,Human
6,112,75.0,Human
6,223,686.0,Human
6,112,639.0,Human
6,109,255.0,Human
6,111,481.0,Human
6,150,291.0,Human
6,186,187.0,Human
6,112,37.0,Human
6,101,112.0,Human
6,149,155.0,Human
6,186,186.0,Human
6,193,1094.0,Human
6,141,143.0,Human
6,151,73.0,Human
6,104,118.0,Human
6,113,69.0,Human
6,112,311.0,Human
6,187,234.0,Human
6,113,74.0,Human
6,147,166.0,Human
6,151,112.0,Human
6,150,75.0,Human
6,149,179.0,Human
6,112,129.0,Human
6,111,112.0,Human
6,150,75.0,Human
6,139,149.0,Human
6,151,449.0,Human
6,187,1180.0,Human
6,262,226.0,Human
6,112,73.0,Human
6,149,204.0,Human
6,149,113.0,Human
6,149,148.0,Human
6,188,113.0,Human
6,112,37.0,Human
6,148,184.0,Human
6,150,74.0,Human
6,184,436.0,Human
6,150,438.0,Human
6,112,36.0,Human
6,149,150.0,Human
6,150,199.0,Human
6,74,37.0,Human
6,75,259.0,Human
6,210,257.0,Human
6,355,1.0,Human
6,124,24.0,Human
6,93,70.0,Human
6,149,149.0,Human
6,112,75.0,Human
6,202,163.0,Human
6,118,30.0,Human
6,142,181.0,Human
6,246,300.0,Human
6,186,224.0,Human
6,227,1044.0,Human
6,187,75.0,Human
6,113,74.0,Human
6,115,172.0,Human
6,113,75.0,Human
6,111,165.0,Human
6,652,114.0,Human
6,911,72.0,Human
6,188,114.0,Human
6,185,73.0,Human
6,374,508.0,Human
6,151,37.0,Human
6,150,262.0,Human
6,151,151.0,Human
6,150,76.0,Human
6,149,73.0,Human
6,112,161.0,Human
6,112,198.0,Human
6,148,174.0,Human
6,113,37.0,Human
6,112,75.0,Human
6,150,1543.0,Human
6,149,371.0,Human
6,74,79.0,Human
6,77,137.0,Human
6,76,129.0,Human
6,450,187.0,Human
6,939,1350.0,Human
6,1473,47.0,Human
6,713,185.0,Human
6,490,1.0,Human
6,410,1034.0,Human
6,634,1088.0,Human
6,188,291.0,Human
6,785,943.0,Human
6,112,75.0,Human
6,149,345.0,Human
6,150,150.0,Human
6,113,37.0,Human
6,186,149.0,Human
6,149,150.0,Human
6,112,357.0,Human
6,113,357.0,Human
6,148,311.0,Human
6,187,294.0,Human
6,112,37.0,Human
6,74,313.0,Human
6,111,177.0,Human
6,149,151.0,Human
6,149,149.0,Human
6,150,149.0,Human
6,186,3521.0,Human
6,186,192.0,Human
6,76,187.0,Human
6,112,178.0,Human
6,222,358.0,Human
6,224,223.0,Human
6,107,75.0,Human
6,114,308.0,Human
7,61,1231.0,Human
7,96,1371.0,Human
7,107,538.0,Human
7,29,413.0,Human
7,98,524.0,Human
7,74,3329.0,Human
7,42,1052.0,Human
7,83,1645.0,Human
7,57,546.0,Human
7,48,708.0,Human
7,153,4469.0,Human
7,63,968.0,Human
7,60,4648.0,Human
7,94,2813.0,Human
7,149,295.0,Human
7,78,1734.0,Human
7,154,121.0,Human
7,194,177.0,Human
7,70,307.0,Human
7,151,983.0,Human
7,128,858.0,Human
9,62,78.0,Human
9,109,115.0,Human
9,63,47.0,Human
9,63,115.0,Human
9,78,164.0,Human
9,94,2284.0,Human
9,109,156.0,Human
9,77,81.0,Human
9,94,140.0,Human
9,78,202.0,Human
9,126,207.0,Human
9,95,107.0,Human
9,63,90.0,Human
9,77,371.0,Human
9,47,287.0,Human
9,78,216.0,Human
9,111,172.0,Human
9,62,181.0,Human
9,79,338.0,Human
9,47,157.0,Human
9,125,172.0,Human
9,125,185.0,Human
9,126,100.0,Human
9,110,65.0,Human
9,109,100.0,Human
9,95,108.0,Human
9,109,148.0,Human
9,110,67.0,Human
9,108,148.0,Human
9,63,142.0,Human
9,78,115.0,Human
9,94,100.0,Human
9,93,132.0,Human
9,77,83.0,Human
9,78,101.0,Human
9,77,79.0,Human
9,125,138.0,Human
9,63,79.0,Human
9,47,347.0,Human
9,94,215.0,Human
9,94,103.0,Human
9,94,93.0,Human
9,93,135.0,Human
9,109,156.0,Human
9,78,170.0,Human
9,109,148.0,Human
9,63,106.0,Human
9,61,276.0,Human
9,46,48.0,Human
9,30,277.0,Human
9,48,133.0,Human
9,62,320.0,Human
9,110,153.0,Human
9,63,60.0,Human
9,124,182.0,Human
9,109,278.0,Human
9,63,70.0,Human
9,124,205.0,Human
9,78,69.0,Human
9,109,151.0,Human
9,64,205.0,Human
9,63,114.0,Human
9,79,98.0,Human
9,155,311.0,Human
9,78,414.0,Human
9,63,102.0,Human
9,93,104.0,Human
9,124,142.0,Human
9,61,131.0,Human
9,126,290.0,Human
9,126,91.0,Human
9,93,497.0,Human
9,62,95.0,Human
